hypervolumenRelativo,instancia,metodo,interacion
0.6728353836011,CH2,GreedyCosto,0
0.541546887120074,CH2,GreedyQoS,0
0.0585350559800636,CH2,RoundRobin,0
0.978725337971005,M1,AE,41
0.965650496745509,M1,AE,40
0.973015808105535,M1,AE,43
0.975319489338189,M1,AE,42
0.961590086125561,M1,AE,9
0.954534869959084,M1,AE,49
0.985288761597031,M1,AE,8
0.973572847384404,M1,AE,48
0.98100228893625,M1,AE,45
0.988807750938823,M1,AE,44
0.976337458901916,M1,AE,47
0.96342552756079,M1,AE,46
0.956674646854188,M1,AE,1
0.967570535215432,M1,AE,0
0.965816327332688,M1,AE,3
0.977073168371268,M1,AE,2
0.961595913188728,M1,AE,5
0.991730903675296,M1,AE,4
0.98480951232501,M1,AE,7
0.97075282818529,M1,AE,6
0.989780536327133,M1,AE,30
0.974819580038077,M1,AE,32
0.931354803073504,M1,AE,31
0.958192405183094,M1,AE,38
0.979084687557374,M1,AE,37
0.97740809018631,M1,AE,39
0.982244354947032,M1,AE,34
0.97917663060997,M1,AE,33
0.974409529301954,M1,AE,36
0.945800990608514,M1,AE,35
0.97538205740288,M1,AE,21
0.993276545268531,M1,AE,20
0.971758498026007,M1,AE,27
0.981763998041171,M1,AE,26
0.977631403964061,M1,AE,29
0.935925017593813,M1,AE,28
0.96601703622826,M1,AE,23
0.974516588183052,M1,AE,22
0.98193631386957,M1,AE,25
0.968989956732619,M1,AE,24
0.962507790340414,M1,AE,10
0.95380288123397,M1,AE,16
0.978511842224465,M1,AE,15
0.979283312854661,M1,AE,18
0.966074967205457,M1,AE,17
0.967584075687017,M1,AE,12
0.976731452887784,M1,AE,11
0.962299418658782,M1,AE,14
0.966368988001394,M1,AE,13
0.972983346899806,M1,AE,19
0.639304657745623,M1,GreedyCosto,0
0.636009153233072,M1,GreedyQoS,0
0.0894829434535255,M1,RoundRobin,0
0.985990659622505,M2,AE,22
0.98573444569616,M2,AE,21
0.991038033031299,M2,AE,20
0.980206059713297,M2,AE,26
0.985239780285376,M2,AE,25
0.983071408766775,M2,AE,24
0.983935011750721,M2,AE,23
0.991207045413309,M2,AE,8
0.989673005694591,M2,AE,7
0.976741217577911,M2,AE,29
0.990807852894952,M2,AE,28
0.991968502354856,M2,AE,9
0.985835024177755,M2,AE,27
0.990456972027653,M2,AE,4
0.97774391706284,M2,AE,3
0.983892975084613,M2,AE,6
0.992750910121181,M2,AE,5
0.98944846731532,M2,AE,0
0.982922014635482,M2,AE,2
0.988907865027862,M2,AE,1
0.984854704083959,M2,AE,33
0.990269040574155,M2,AE,32
0.992954475600708,M2,AE,31
0.993092438148529,M2,AE,30
0.988714334209646,M2,AE,37
0.98395429240449,M2,AE,36
0.985980109118029,M2,AE,35
0.983867707995794,M2,AE,34
0.989349096222701,M2,AE,39
0.984933525815791,M2,AE,38
0.979346801308752,M2,AE,40
0.991660780097296,M2,AE,44
0.990304510809994,M2,AE,43
0.988391947924166,M2,AE,42
0.980266885720436,M2,AE,41
0.989358818229076,M2,AE,48
0.987310495053149,M2,AE,47
0.992778702427676,M2,AE,46
0.984291695141735,M2,AE,45
0.993870488422073,M2,AE,49
0.990043756939384,M2,AE,11
0.99370656623241,M2,AE,10
0.987223091884707,M2,AE,15
0.991134626130228,M2,AE,14
0.981398850313147,M2,AE,13
0.992002305816504,M2,AE,12
0.985024192581082,M2,AE,19
0.985393874677369,M2,AE,18
0.98815696269768,M2,AE,17
0.992416952833895,M2,AE,16
0.666556304320031,M2,GreedyCosto,0
0.605351482014398,M2,GreedyQoS,0
0.0891589155784338,M2,RoundRobin,0
0.979932024451577,G1,AE,32
0.977374766672381,G1,AE,31
0.978808743069118,G1,AE,34
0.966686414645402,G1,AE,33
0.979559527348929,G1,AE,36
0.990507123691869,G1,AE,35
0.970020522763143,G1,AE,38
0.977940116188317,G1,AE,37
0.977023393957065,G1,AE,39
0.981951147211903,G1,AE,41
0.983565764333653,G1,AE,40
0.980301070347268,G1,AE,43
0.984379781969843,G1,AE,42
0.979869574246582,G1,AE,45
0.989033322407428,G1,AE,44
0.982070750697098,G1,AE,47
0.989428036222541,G1,AE,46
0.979682028036128,G1,AE,49
0.985975683354164,G1,AE,48
0.978529562563621,G1,AE,1
0.986757496286721,G1,AE,0
0.976003450917216,G1,AE,9
0.974783832769914,G1,AE,8
0.982250219871764,G1,AE,7
0.984238878304812,G1,AE,6
0.988080755939125,G1,AE,5
0.985694806360931,G1,AE,4
0.97580843464025,G1,AE,3
0.978503714560454,G1,AE,2
0.984974049386556,G1,AE,10
0.972020197405046,G1,AE,12
0.981484251670475,G1,AE,11
0.978240951382345,G1,AE,14
0.996608784276473,G1,AE,13
0.983924801133437,G1,AE,16
0.987419289551606,G1,AE,15
0.980925998927616,G1,AE,18
0.987928925587701,G1,AE,17
0.979664372200025,G1,AE,19
0.984099679298126,G1,AE,21
0.986573546974575,G1,AE,20
0.968991693553042,G1,AE,23
0.979549420216538,G1,AE,22
0.982820087818857,G1,AE,25
0.97896448262002,G1,AE,24
0.98161382029946,G1,AE,27
0.964566628549774,G1,AE,26
0.986464098541556,G1,AE,29
0.974368553456685,G1,AE,28
0.975507973851591,G1,AE,30
0.579524391105997,G1,GreedyCosto,0
0.685806134661297,G1,GreedyQoS,0
0.135695521129278,G1,RoundRobin,0
0.98515959670228,G2,AE,49
0.994426343667582,G2,AE,48
0.977478023999396,G2,AE,47
0.981087310427442,G2,AE,46
0.992462915505399,G2,AE,45
0.988376651741612,G2,AE,44
0.985464135499169,G2,AE,43
0.979829444914508,G2,AE,20
0.988003166816735,G2,AE,0
0.988344910046,G2,AE,9
0.977977605655265,G2,AE,19
0.984941869985359,G2,AE,18
0.982008956692135,G2,AE,3
0.982950341730469,G2,AE,17
0.993864527617607,G2,AE,4
0.981150782154073,G2,AE,16
0.987789910053386,G2,AE,1
0.988114998998898,G2,AE,15
0.984438089112136,G2,AE,2
0.981833086237694,G2,AE,14
0.985156077794711,G2,AE,7
0.995507162724082,G2,AE,13
0.990118352072272,G2,AE,8
0.985576165495469,G2,AE,12
0.987082520799243,G2,AE,5
0.987799459632567,G2,AE,11
0.987789910053386,G2,AE,6
0.970040285626184,G2,AE,10
0.985242339824794,G2,AE,31
0.980047781108763,G2,AE,30
0.981749104461089,G2,AE,29
0.98707338318921,G2,AE,28
0.986113444580009,G2,AE,27
0.99011281233809,G2,AE,26
0.995212085965335,G2,AE,25
0.986382708608898,G2,AE,24
0.967951008128102,G2,AE,23
0.991000082936357,G2,AE,22
0.97160326894491,G2,AE,21
0.973446862752918,G2,AE,42
0.984492086439216,G2,AE,41
0.993412278710367,G2,AE,40
0.982223371393858,G2,AE,39
0.985576440891961,G2,AE,38
0.992183317684016,G2,AE,37
0.992587506395287,G2,AE,36
0.986143800482384,G2,AE,35
0.977221155990522,G2,AE,34
0.985921443769324,G2,AE,33
0.974465387622593,G2,AE,32
