costo,qos,instancia,metodo,interacion
0.21939847,46424.69585,AMPL2,CPLEX,0
0.21939847,45745.74238,AMPL2,CPLEX,0
0.21962347,45577.77409,AMPL2,CPLEX,0
0.21984847,45323.81969,AMPL2,CPLEX,0
0.22007347,45318.18029,AMPL2,CPLEX,0
0.22007347,45159.95916,AMPL2,CPLEX,0
0.22007347,45132.08026,AMPL2,CPLEX,0
0.22029847,45082.28953,AMPL2,CPLEX,0
0.22029847,44968.21973,AMPL2,CPLEX,0
0.22052347,44918.429,AMPL2,CPLEX,0
0.22052347,44867.92653,AMPL2,CPLEX,0
0.22264847,44738.7483,AMPL2,CPLEX,0
0.22289847,44270.47646,AMPL2,CPLEX,0
0.22289847,44102.42386,AMPL2,CPLEX,0
0.22314847,43766.31866,AMPL2,CPLEX,0
0.22339847,43439.99128,AMPL2,CPLEX,0
0.22364847,43184.25806,AMPL2,CPLEX,0
0.22364847,43113.6639,AMPL2,CPLEX,0
0.22774847,43057.018558,AMPL2,CPLEX,0
0.22774847,42976.963958,AMPL2,CPLEX,0
0.22774847,42896.909358,AMPL2,CPLEX,0
0.22774847,42816.854758,AMPL2,CPLEX,0
0.24515685,42782.168151,AMPL2,CPLEX,0
0.24542685,42702.113551,AMPL2,CPLEX,0
0.24542685,42461.949751,AMPL2,CPLEX,0
0.27009847,42416.54917,AMPL2,CPLEX,0
0.27009847,42302.47937,AMPL2,CPLEX,0
0.27009847,42274.33993,AMPL2,CPLEX,0
0.27009847,42212.3855,AMPL2,CPLEX,0
0.27032347,42110.4794,AMPL2,CPLEX,0
0.27032347,42048.52497,AMPL2,CPLEX,0
0.27032347,42020.64607,AMPL2,CPLEX,0
0.27054847,41918.73997,AMPL2,CPLEX,0
0.27054847,41856.78554,AMPL2,CPLEX,0
0.27077347,41806.99481,AMPL2,CPLEX,0
0.27077347,41784.99808,AMPL2,CPLEX,0
0.27077347,41756.49234,AMPL2,CPLEX,0
0.27289847,41627.31411,AMPL2,CPLEX,0
0.27314847,41298.37863,AMPL2,CPLEX,0
0.27314847,41130.32603,AMPL2,CPLEX,0
0.27314847,40990.98967,AMPL2,CPLEX,0
0.27339847,40906.96337,AMPL2,CPLEX,0
0.27339847,40903.30905,AMPL2,CPLEX,0
0.27339847,40654.88447,AMPL2,CPLEX,0
0.27364847,40584.29031,AMPL2,CPLEX,0
0.27364847,40328.55709,AMPL2,CPLEX,0
0.27389847,40170.28231,AMPL2,CPLEX,0
0.27389847,40064.18414,AMPL2,CPLEX,0
0.27389847,40002.22971,AMPL2,CPLEX,0
0.27766847,39967.630513,AMPL2,CPLEX,0
0.27766847,39907.214653,AMPL2,CPLEX,0
0.27791847,39580.887273,AMPL2,CPLEX,0
0.28201847,39577.880451,AMPL2,CPLEX,0
0.28201847,39284.078131,AMPL2,CPLEX,0
0.29283185,39242.417971,AMPL2,CPLEX,0
0.29283185,39197.205921,AMPL2,CPLEX,0
0.29283185,39192.744421,AMPL2,CPLEX,0
0.29283185,39112.689821,AMPL2,CPLEX,0
0.29283185,39108.219521,AMPL2,CPLEX,0
0.29283185,39075.323981,AMPL2,CPLEX,0
0.29287685,39047.768541,AMPL2,CPLEX,0
0.29287685,38898.149641,AMPL2,CPLEX,0
0.29310185,38755.105581,AMPL2,CPLEX,0
0.30625185,38746.025001,AMPL2,CPLEX,0
0.30625185,38713.129461,AMPL2,CPLEX,0
0.30650685,38688.740451,AMPL2,CPLEX,0
0.30650685,38608.685851,AMPL2,CPLEX,0
0.30650685,38598.457801,AMPL2,CPLEX,0
0.30650685,38592.173151,AMPL2,CPLEX,0
0.30650685,38544.772741,AMPL2,CPLEX,0
0.30652185,38472.965661,AMPL2,CPLEX,0
0.30652185,38392.911061,AMPL2,CPLEX,0
0.31051685,38355.570562,AMPL2,CPLEX,0
0.31054185,38350.817102,AMPL2,CPLEX,0
0.31054185,38317.921562,AMPL2,CPLEX,0
0.31056685,38280.272562,AMPL2,CPLEX,0
0.31059185,38275.519102,AMPL2,CPLEX,0
0.31059185,38242.623562,AMPL2,CPLEX,0
0.31071185,38228.353762,AMPL2,CPLEX,0
0.31071185,38148.299162,AMPL2,CPLEX,0
0.31073685,38110.650162,AMPL2,CPLEX,0
0.31076185,38073.001162,AMPL2,CPLEX,0
0.31078685,38035.352162,AMPL2,CPLEX,0
0.31081185,37997.703162,AMPL2,CPLEX,0
0.31083685,37978.568462,AMPL2,CPLEX,0
0.31083685,37974.098162,AMPL2,CPLEX,0
0.31083685,37960.054162,AMPL2,CPLEX,0
0.31086185,37922.405162,AMPL2,CPLEX,0
0.32414847,37824.64572,AMPL2,CPLEX,0
0.32791847,37729.630663,AMPL2,CPLEX,0
0.32816847,37403.303283,AMPL2,CPLEX,0
0.33226847,37398.199533,AMPL2,CPLEX,0
0.33272847,37273.666238,AMPL2,CPLEX,0
0.33276847,37106.494141,AMPL2,CPLEX,0
0.33499347,37095.91432,AMPL2,CPLEX,0
0.33497847,37062.09702,AMPL2,CPLEX,0
0.33499347,37011.88802,AMPL2,CPLEX,0
0.33499347,37008.49192,AMPL2,CPLEX,0
0.33500847,36958.28292,AMPL2,CPLEX,0
0.33876347,36923.254683,AMPL2,CPLEX,0
0.33876347,36913.476863,AMPL2,CPLEX,0
0.33877847,36863.267863,AMPL2,CPLEX,0
0.33898347,36852.059073,AMPL2,CPLEX,0
0.33898347,36848.328733,AMPL2,CPLEX,0
0.33898347,36832.606863,AMPL2,CPLEX,0
0.33898347,36829.210763,AMPL2,CPLEX,0
0.33898347,36761.785223,AMPL2,CPLEX,0
0.33899847,36737.703873,AMPL2,CPLEX,0
0.33899847,36720.809183,AMPL2,CPLEX,0
0.33899847,36640.754583,AMPL2,CPLEX,0
0.33901347,36590.545583,AMPL2,CPLEX,0
0.33901347,36587.149483,AMPL2,CPLEX,0
0.33902847,36536.940483,AMPL2,CPLEX,0
0.34005685,36497.171141,AMPL2,CPLEX,0
0.34005685,36454.637431,AMPL2,CPLEX,0
0.34010185,36277.463091,AMPL2,CPLEX,0
0.34032685,36134.419031,AMPL2,CPLEX,0
0.34056512,36070.98603,AMPL2,CPLEX,0
0.34056512,36005.97013,AMPL2,CPLEX,0
0.34056512,35952.39896,AMPL2,CPLEX,0
0.34081512,35626.07158,AMPL2,CPLEX,0
0.34081512,35456.62363,AMPL2,CPLEX,0
0.34081512,35391.60773,AMPL2,CPLEX,0
0.34106512,34823.05365,AMPL2,CPLEX,0
0.35552532,34692.747781,AMPL2,CPLEX,0
0.35557032,34658.650151,AMPL2,CPLEX,0
0.35579532,34552.803951,AMPL2,CPLEX,0
0.35579532,34243.270861,AMPL2,CPLEX,0
0.35579532,34097.407141,AMPL2,CPLEX,0
0.35579532,34094.272181,AMPL2,CPLEX,0
0.35584032,34063.309511,AMPL2,CPLEX,0
0.35606532,33957.463311,AMPL2,CPLEX,0
0.35606532,33813.092611,AMPL2,CPLEX,0
