timestampInicio,timestampFin,instancia,duracion_segundos
2018-02-21 15:09:11,2018-02-21 15:11:01,CH1,110.0
2018-02-21 15:09:12,2018-02-21 15:11:23,CH1,131.0
2018-02-21 15:09:19,2018-02-21 15:11:13,CH1,114.0
2018-02-21 15:09:13,2018-02-21 15:11:21,CH1,128.0
2018-02-21 15:09:12,2018-02-21 15:11:26,CH1,134.0
2018-02-21 15:09:11,2018-02-21 15:11:16,CH1,125.0
2018-02-21 20:39:37,2018-02-21 20:41:12,CH1,95.0
2018-02-21 15:37:07,2018-02-21 15:38:59,CH1,112.0
2018-02-21 15:37:07,2018-02-21 15:39:01,CH1,114.0
2018-02-21 15:37:07,2018-02-21 15:39:03,CH1,116.0
2018-02-21 15:37:07,2018-02-21 15:39:01,CH1,114.0
2018-02-21 15:37:07,2018-02-21 15:38:51,CH1,104.0
2018-02-21 15:37:07,2018-02-21 15:39:03,CH1,116.0
2018-02-21 15:37:07,2018-02-21 15:39:07,CH1,120.0
2018-02-21 15:37:07,2018-02-21 15:39:02,CH1,115.0
2018-02-21 15:37:07,2018-02-21 15:39:03,CH1,116.0
2018-02-21 15:37:07,2018-02-21 15:38:55,CH1,108.0
2018-02-23 12:06:19,2018-02-23 12:07:03,CH2,44.0
2018-02-23 12:06:19,2018-02-23 12:07:06,CH2,47.0
2018-02-23 12:06:19,2018-02-23 12:07:03,CH2,44.0
2018-02-23 12:06:19,2018-02-23 12:07:04,CH2,45.0
2018-02-23 12:06:19,2018-02-23 12:07:10,CH2,51.0
2018-02-23 12:06:19,2018-02-23 12:07:08,CH2,49.0
2018-02-23 12:06:19,2018-02-23 12:07:04,CH2,45.0
2018-02-23 12:06:19,2018-02-23 12:07:07,CH2,48.0
2018-02-23 12:06:19,2018-02-23 12:07:06,CH2,47.0
2018-02-23 12:06:19,2018-02-23 12:07:05,CH2,46.0
2018-02-22 21:42:59,2018-02-22 21:45:20,CH2,141.0
2018-02-22 21:42:57,2018-02-22 21:45:03,CH2,126.0
2018-02-22 21:42:59,2018-02-22 21:45:10,CH2,131.0
2018-02-22 21:42:55,2018-02-22 21:44:46,CH2,111.0
2018-02-22 21:42:59,2018-02-22 21:45:12,CH2,133.0
2018-02-22 21:42:59,2018-02-22 21:45:01,CH2,122.0
2018-02-22 21:42:59,2018-02-22 21:45:31,CH2,152.0
2018-02-22 21:42:55,2018-02-22 21:44:52,CH2,117.0
2018-02-22 21:43:03,2018-02-22 21:45:10,CH2,127.0
2018-02-22 21:42:58,2018-02-22 21:45:11,CH2,133.0
2018-02-22 21:42:56,2018-02-22 21:46:41,CH2,225.0
2018-02-22 21:43:05,2018-02-22 21:46:16,CH2,191.0
2018-02-22 21:43:05,2018-02-22 21:46:19,CH2,194.0
2018-02-22 21:43:02,2018-02-22 21:46:21,CH2,199.0
2018-02-22 21:42:56,2018-02-22 21:46:27,CH2,211.0
2018-02-22 21:43:05,2018-02-22 21:46:41,CH2,216.0
2018-02-22 21:43:03,2018-02-22 21:46:35,CH2,212.0
2018-02-22 21:42:56,2018-02-22 21:46:19,CH2,203.0
2018-02-22 21:43:04,2018-02-22 21:46:47,CH2,223.0
2018-02-22 21:43:02,2018-02-22 21:46:35,CH2,213.0
2018-02-22 21:42:57,2018-02-22 21:44:15,CH2,78.0
2018-02-22 21:42:56,2018-02-22 21:44:14,CH2,78.0
2018-02-22 21:42:55,2018-02-22 21:44:12,CH2,77.0
2018-02-22 21:42:55,2018-02-22 21:44:10,CH2,75.0
2018-02-22 21:42:55,2018-02-22 21:44:12,CH2,77.0
2018-02-22 21:42:55,2018-02-22 21:44:10,CH2,75.0
2018-02-22 21:42:56,2018-02-22 21:44:16,CH2,80.0
2018-02-22 21:42:57,2018-02-22 21:44:15,CH2,78.0
2018-02-22 21:42:57,2018-02-22 21:44:16,CH2,79.0
2018-02-22 21:42:55,2018-02-22 21:44:15,CH2,80.0
2018-02-22 22:42:56,2018-02-22 22:44:27,CH2,91.0
2018-02-22 22:42:56,2018-02-22 22:44:08,CH2,72.0
2018-02-22 22:42:56,2018-02-22 22:44:07,CH2,71.0
2018-02-22 22:42:56,2018-02-22 22:44:23,CH2,87.0
2018-02-22 22:42:56,2018-02-22 22:44:10,CH2,74.0
2018-02-22 22:42:56,2018-02-22 22:44:20,CH2,84.0
2018-02-22 22:42:56,2018-02-22 22:44:20,CH2,84.0
2018-02-22 22:42:56,2018-02-22 22:44:09,CH2,73.0
2018-02-22 22:42:56,2018-02-22 22:44:16,CH2,80.0
2018-02-22 22:42:56,2018-02-22 22:44:11,CH2,75.0
2018-02-23 20:07:52,2018-02-23 20:09:21,M1,89.0
2018-02-23 20:07:53,2018-02-23 20:09:27,M1,94.0
2018-02-23 20:07:52,2018-02-23 20:09:23,M1,91.0
2018-02-23 20:07:52,2018-02-23 20:09:23,M1,91.0
2018-02-23 20:07:52,2018-02-23 20:09:21,M1,89.0
2018-02-23 22:37:01,2018-02-23 22:38:28,M1,87.0
2018-02-23 22:37:01,2018-02-23 22:38:30,M1,89.0
2018-02-23 22:37:01,2018-02-23 22:38:30,M1,89.0
2018-02-23 22:37:01,2018-02-23 22:38:31,M1,90.0
2018-02-23 22:37:01,2018-02-23 22:38:28,M1,87.0
2018-02-23 19:22:45,2018-02-23 19:26:08,M1,203.0
2018-02-23 19:22:45,2018-02-23 19:26:08,M1,203.0
2018-02-23 19:22:45,2018-02-23 19:26:14,M1,209.0
2018-02-23 19:22:45,2018-02-23 19:26:12,M1,207.0
2018-02-23 19:22:45,2018-02-23 19:25:59,M1,194.0
2018-03-08 10:33:54,2018-03-08 10:35:20,M1,86.0
2018-03-08 10:33:54,2018-03-08 10:35:14,M1,80.0
2018-03-08 10:33:54,2018-03-08 10:35:16,M1,82.0
2018-03-08 10:33:54,2018-03-08 10:35:17,M1,83.0
2018-02-23 19:07:59,2018-02-23 19:12:04,M1,245.0
2018-03-08 10:33:54,2018-03-08 10:35:19,M1,85.0
2018-02-23 19:07:59,2018-02-23 19:11:56,M1,237.0
2018-03-08 10:33:54,2018-03-08 10:35:16,M1,82.0
2018-03-08 10:33:54,2018-03-08 10:35:18,M1,84.0
2018-03-08 10:33:54,2018-03-08 10:35:19,M1,85.0
2018-03-08 10:33:54,2018-03-08 10:35:19,M1,85.0
2018-03-08 10:33:54,2018-03-08 10:35:16,M1,82.0
2018-03-08 10:33:54,2018-03-08 10:35:17,M1,83.0
2018-02-23 19:08:08,2018-02-23 19:16:10,M1,482.0
2018-03-08 10:33:54,2018-03-08 10:35:19,M1,85.0
2018-02-23 19:07:55,2018-02-23 19:10:16,M1,141.0
2018-02-23 19:07:55,2018-02-23 19:10:22,M1,147.0
2018-02-23 19:07:55,2018-02-23 19:10:19,M1,144.0
2018-03-08 10:33:54,2018-03-08 10:35:19,M1,85.0
2018-03-08 10:33:54,2018-03-08 10:35:19,M1,85.0
2018-02-23 19:07:56,2018-02-23 19:10:17,M1,141.0
2018-03-08 10:33:54,2018-03-08 10:35:13,M1,79.0
2018-03-08 10:33:54,2018-03-08 10:35:15,M1,81.0
2018-03-08 11:18:20,2018-03-08 11:19:34,M1,74.0
2018-02-23 19:07:56,2018-02-23 19:10:16,M1,140.0
2018-02-23 20:07:53,2018-02-23 20:10:06,M1,133.0
2018-02-23 20:07:53,2018-02-23 20:10:17,M1,144.0
2018-02-23 20:07:53,2018-02-23 20:10:12,M1,139.0
2018-02-23 20:07:53,2018-02-23 20:10:16,M1,143.0
2018-02-23 20:07:53,2018-02-23 20:10:05,M1,132.0
2018-02-23 20:07:53,2018-02-23 20:10:15,M1,142.0
2018-02-23 20:07:53,2018-02-23 20:10:20,M1,147.0
2018-02-23 20:07:53,2018-02-23 20:10:14,M1,141.0
2018-02-23 20:07:53,2018-02-23 20:10:14,M1,141.0
2018-02-23 20:07:53,2018-02-23 20:10:19,M1,146.0
2018-02-24 02:20:13,2018-02-24 02:21:42,M2,89.0
2018-02-24 02:20:13,2018-02-24 02:21:43,M2,90.0
2018-02-24 02:20:13,2018-02-24 02:21:42,M2,89.0
2018-02-24 02:20:13,2018-02-24 02:21:47,M2,94.0
2018-02-24 02:20:13,2018-02-24 02:21:44,M2,91.0
2018-02-24 04:41:47,2018-02-24 04:43:10,M2,83.0
2018-02-24 04:41:47,2018-02-24 04:43:10,M2,83.0
2018-02-24 04:41:47,2018-02-24 04:43:07,M2,80.0
2018-02-24 04:41:47,2018-02-24 04:43:09,M2,82.0
2018-02-24 04:41:47,2018-02-24 04:43:10,M2,83.0
2018-03-08 11:18:21,2018-03-08 11:19:32,M2,71.0
2018-02-24 01:20:18,2018-02-24 01:23:53,M2,215.0
2018-03-08 11:18:21,2018-03-08 11:19:36,M2,75.0
2018-02-24 01:20:18,2018-02-24 01:23:36,M2,198.0
2018-02-24 01:20:18,2018-02-24 01:23:49,M2,211.0
2018-03-08 11:18:20,2018-03-08 11:19:33,M2,73.0
2018-02-24 01:20:18,2018-02-24 01:23:16,M2,178.0
2018-02-24 01:20:16,2018-02-24 01:23:39,M2,203.0
2018-02-24 01:20:18,2018-02-24 01:23:55,M2,217.0
2018-02-24 01:20:19,2018-02-24 01:23:57,M2,218.0
2018-02-24 01:20:20,2018-02-24 01:23:34,M2,194.0
2018-03-08 11:18:20,2018-03-08 11:19:32,M2,72.0
2018-02-24 01:20:19,2018-02-24 01:23:44,M2,205.0
2018-02-24 01:20:17,2018-02-24 01:23:52,M2,215.0
2018-02-24 01:20:17,2018-02-24 01:24:07,M2,230.0
2018-03-08 11:18:21,2018-03-08 11:19:37,M2,76.0
2018-03-08 11:18:21,2018-03-08 11:19:36,M2,75.0
2018-02-24 01:20:17,2018-02-24 01:22:38,M2,141.0
2018-02-24 01:20:18,2018-02-24 01:22:39,M2,141.0
2018-03-08 11:18:21,2018-03-08 11:19:35,M2,74.0
2018-03-08 11:18:20,2018-03-08 11:19:32,M2,72.0
2018-02-24 01:20:18,2018-02-24 01:22:38,M2,140.0
2018-02-24 01:20:17,2018-02-24 01:22:37,M2,140.0
2018-02-24 01:20:18,2018-02-24 01:22:41,M2,143.0
2018-02-24 01:20:16,2018-02-24 01:22:41,M2,145.0
2018-02-24 02:20:14,2018-02-24 02:22:41,M2,147.0
2018-02-24 02:20:14,2018-02-24 02:22:33,M2,139.0
2018-02-24 02:20:14,2018-02-24 02:22:44,M2,150.0
2018-02-24 02:20:15,2018-02-24 02:22:42,M2,147.0
2018-02-24 02:20:15,2018-02-24 02:22:47,M2,152.0
2018-02-24 02:20:14,2018-02-24 02:22:44,M2,150.0
2018-02-24 02:20:14,2018-02-24 02:22:51,M2,157.0
2018-02-24 02:20:14,2018-02-24 02:22:51,M2,157.0
2018-02-24 02:20:14,2018-02-24 02:22:50,M2,156.0
2018-02-24 02:20:14,2018-02-24 02:22:35,M2,141.0
2018-02-24 02:20:14,2018-02-24 02:22:56,M2,162.0
2018-02-24 02:20:14,2018-02-24 02:22:55,M2,161.0
2018-02-24 02:20:14,2018-02-24 02:22:41,M2,147.0
2018-02-24 02:20:14,2018-02-24 02:22:42,M2,148.0
2018-02-24 02:20:14,2018-02-24 02:22:50,M2,156.0
