costo,qos,instancia,metodo
0.29283185,39075.323981,AMPL2,CPLEX
0.29287685,38898.149641,AMPL2,CPLEX
0.29310185,38755.105581,AMPL2,CPLEX
0.30625185,38713.129461,AMPL2,CPLEX
0.30650685,38544.772741,AMPL2,CPLEX
0.30652185,38392.911061,AMPL2,CPLEX
0.31051685,38355.570562,AMPL2,CPLEX
0.31054185,38317.921562,AMPL2,CPLEX
0.31056685,38280.272562,AMPL2,CPLEX
0.31059185,38242.623562,AMPL2,CPLEX
0.31071185,38148.299162,AMPL2,CPLEX
0.31073685,38110.650162,AMPL2,CPLEX
0.31076185,38073.001162,AMPL2,CPLEX
0.31078685,38035.352162,AMPL2,CPLEX
0.31081185,37997.703162,AMPL2,CPLEX
0.31083685,37960.054162,AMPL2,CPLEX
0.31086185,37922.405162,AMPL2,CPLEX
0.32414847,37824.64572,AMPL2,CPLEX
0.32791847,37729.630663,AMPL2,CPLEX
0.32816847,37403.303283,AMPL2,CPLEX
0.33226847,37398.199533,AMPL2,CPLEX
0.33272847,37273.666238,AMPL2,CPLEX
0.33276847,37106.494141,AMPL2,CPLEX
0.33497847,37062.09702,AMPL2,CPLEX
0.33499347,37008.49192,AMPL2,CPLEX
0.33500847,36958.28292,AMPL2,CPLEX
0.33876347,36913.476863,AMPL2,CPLEX
0.33877847,36863.267863,AMPL2,CPLEX
0.33898347,36761.785223,AMPL2,CPLEX
0.33899847,36640.754583,AMPL2,CPLEX
0.33901347,36587.149483,AMPL2,CPLEX
0.33902847,36536.940483,AMPL2,CPLEX
0.34005685,36454.637431,AMPL2,CPLEX
0.34010185,36277.463091,AMPL2,CPLEX
0.34032685,36134.419031,AMPL2,CPLEX
0.34056512,35952.39896,AMPL2,CPLEX
0.34081512,35391.60773,AMPL2,CPLEX
0.34106512,34823.05365,AMPL2,CPLEX
0.35552532,34692.747781,AMPL2,CPLEX
0.35557032,34658.650151,AMPL2,CPLEX
0.35579532,34094.272181,AMPL2,CPLEX
0.35584032,34063.309511,AMPL2,CPLEX
0.35606532,33498.931541,AMPL2,CPLEX
0.38919012,33370.64345,AMPL2,CPLEX
0.40143512,33354.88671,AMPL2,CPLEX
0.40156512,33276.68513,AMPL2,CPLEX
0.40158012,33155.65449,AMPL2,CPLEX
0.40159512,33105.44549,AMPL2,CPLEX
0.40164512,33012.26627,AMPL2,CPLEX
0.40166012,32962.05727,AMPL2,CPLEX
0.40183012,32829.32711,AMPL2,CPLEX
0.40184512,32779.11811,AMPL2,CPLEX
0.40189512,32676.16107,AMPL2,CPLEX
0.40191012,32625.95207,AMPL2,CPLEX
0.40211512,32591.89497,AMPL2,CPLEX
0.40213012,32496.99198,AMPL2,CPLEX
0.40214512,32349.83369,AMPL2,CPLEX
