tipotiempo,tiempo,instancia,interacion
_total_solve_system_time,38.89868,AMPL1,18
_total_solve_user_time,591.92148,AMPL1,18
_total_solve_time,630.82016,AMPL1,18
_ampl_elapsed_time,1228.754337,AMPL1,19
_ampl_system_time,25.192639,AMPL1,19
_ampl_user_time,1069.637918,AMPL1,19
_ampl_time,1094.830578,AMPL1,19
_solve_elapsed_time,31.02538,AMPL1,19
_solve_system_time,1.96174,AMPL1,19
_solve_user_time,38.753238,AMPL1,19
_solve_time,40.714978,AMPL1,19
_total_solve_elapsed_time,558.957998,AMPL1,19
_total_solve_system_time,40.86042,AMPL1,19
_total_solve_user_time,630.674718,AMPL1,19
_total_solve_time,671.535138,AMPL1,19
_ampl_elapsed_time,1287.210101,AMPL1,20
_ampl_system_time,26.329305,AMPL1,20
_ampl_user_time,1123.064412,AMPL1,20
_ampl_time,1149.393731,AMPL1,20
_solve_elapsed_time,28.767968,AMPL1,20
_solve_system_time,1.886788,AMPL1,20
_solve_user_time,40.145208,AMPL1,20
_solve_time,42.031996,AMPL1,20
_total_solve_elapsed_time,587.725966,AMPL1,20
_total_solve_system_time,42.747208,AMPL1,20
_total_solve_user_time,670.819926,AMPL1,20
_total_solve_time,713.567134,AMPL1,20
_ampl_elapsed_time,1349.789853,AMPL1,21
_ampl_system_time,27.582868,AMPL1,21
_ampl_user_time,1179.153173,AMPL1,21
_ampl_time,1206.736058,AMPL1,21
_solve_elapsed_time,32.054491,AMPL1,21
_solve_system_time,2.179551,AMPL1,21
_solve_user_time,38.80543,AMPL1,21
_solve_time,40.984981,AMPL1,21
_total_solve_elapsed_time,619.780457,AMPL1,21
_total_solve_system_time,44.926759,AMPL1,21
_total_solve_user_time,709.625356,AMPL1,21
_total_solve_time,754.552115,AMPL1,21
_ampl_elapsed_time,1410.187803,AMPL1,22
_ampl_system_time,28.61473,AMPL1,22
_ampl_user_time,1232.236412,AMPL1,22
_ampl_time,1260.851159,AMPL1,22
_solve_elapsed_time,27.620389,AMPL1,22
_solve_system_time,1.866083,AMPL1,22
_solve_user_time,34.665565,AMPL1,22
_solve_time,36.531648,AMPL1,22
_total_solve_elapsed_time,647.400846,AMPL1,22
_total_solve_system_time,46.792842,AMPL1,22
_total_solve_user_time,744.290921,AMPL1,22
_total_solve_time,791.083763,AMPL1,22
_ampl_elapsed_time,1468.56334,AMPL1,23
_ampl_system_time,29.754466,AMPL1,23
_ampl_user_time,1285.526926,AMPL1,23
_ampl_time,1315.281392,AMPL1,23
_solve_elapsed_time,28.012761,AMPL1,23
_solve_system_time,2.049997,AMPL1,23
_solve_user_time,33.085028,AMPL1,23
_solve_time,35.135025,AMPL1,23
_total_solve_elapsed_time,675.413607,AMPL1,23
_total_solve_system_time,48.842839,AMPL1,23
_total_solve_user_time,777.375949,AMPL1,23
_total_solve_time,826.218788,AMPL1,23
_ampl_elapsed_time,1528.988206,AMPL1,24
_ampl_system_time,30.94815,AMPL1,24
_ampl_user_time,1339.413781,AMPL1,24
_ampl_time,1370.361946,AMPL1,24
_solve_elapsed_time,31.136602,AMPL1,24
_solve_system_time,2.082776,AMPL1,24
_solve_user_time,38.341101,AMPL1,24
_solve_time,40.423877,AMPL1,24
_total_solve_elapsed_time,706.550209,AMPL1,24
_total_solve_system_time,50.925615,AMPL1,24
_total_solve_user_time,815.71705,AMPL1,24
_total_solve_time,866.642665,AMPL1,24
_ampl_elapsed_time,1586.682877,AMPL1,25
_ampl_system_time,32.138948,AMPL1,25
_ampl_user_time,1392.235332,AMPL1,25
_ampl_time,1424.374295,AMPL1,25
_solve_elapsed_time,43.079712,AMPL1,25
_solve_system_time,2.197464,AMPL1,25
_solve_user_time,80.236937,AMPL1,25
_solve_time,82.434401,AMPL1,25
_total_solve_elapsed_time,749.629921,AMPL1,25
_total_solve_system_time,53.123079,AMPL1,25
_total_solve_user_time,895.953987,AMPL1,25
_total_solve_time,949.077066,AMPL1,25
_ampl_elapsed_time,1650.507682,AMPL1,26
_ampl_system_time,33.408561,AMPL1,26
_ampl_user_time,1446.253322,AMPL1,26
_ampl_time,1479.661901,AMPL1,26
_solve_elapsed_time,51.425948,AMPL1,26
_solve_system_time,2.218426,AMPL1,26
_solve_user_time,99.115155,AMPL1,26
_solve_time,101.333581,AMPL1,26
_total_solve_elapsed_time,801.055869,AMPL1,26
_total_solve_system_time,55.341505,AMPL1,26
_total_solve_user_time,995.069142,AMPL1,26
_total_solve_time,1050.410647,AMPL1,26
_ampl_elapsed_time,1708.77872,AMPL1,27
_ampl_system_time,34.478388,AMPL1,27
_ampl_user_time,1499.35893,AMPL1,27
_ampl_time,1533.837334,AMPL1,27
_solve_elapsed_time,28.179977,AMPL1,27
_solve_system_time,2.069085,AMPL1,27
_solve_user_time,33.072278,AMPL1,27
_solve_time,35.141363,AMPL1,27
_total_solve_elapsed_time,829.235846,AMPL1,27
_total_solve_system_time,57.41059,AMPL1,27
_total_solve_user_time,1028.14142,AMPL1,27
_total_solve_time,1085.55201,AMPL1,27
_ampl_elapsed_time,1765.709555,AMPL1,28
_ampl_system_time,35.345471,AMPL1,28
_ampl_user_time,1550.254298,AMPL1,28
_ampl_time,1585.599785,AMPL1,28
_solve_elapsed_time,41.234585,AMPL1,28
_solve_system_time,2.280656,AMPL1,28
_solve_user_time,75.687908,AMPL1,28
_solve_time,77.968564,AMPL1,28
_total_solve_elapsed_time,870.470431,AMPL1,28
_total_solve_system_time,59.691246,AMPL1,28
_total_solve_user_time,1103.829328,AMPL1,28
_total_solve_time,1163.520574,AMPL1,28
_ampl_elapsed_time,1826.378414,AMPL1,29
_ampl_system_time,36.5342,AMPL1,29
_ampl_user_time,1604.838812,AMPL1,29
_ampl_time,1641.373028,AMPL1,29
_solve_elapsed_time,34.823765,AMPL1,29
_solve_system_time,2.199387,AMPL1,29
_solve_user_time,58.836537,AMPL1,29
_solve_time,61.035924,AMPL1,29
_total_solve_elapsed_time,905.294196,AMPL1,29
_total_solve_system_time,61.890633,AMPL1,29
_total_solve_user_time,1162.665865,AMPL1,29
_total_solve_time,1224.556498,AMPL1,29
_ampl_elapsed_time,1887.885785,AMPL1,30
_ampl_system_time,37.647077,AMPL1,30
_ampl_user_time,1660.66675,AMPL1,30
_ampl_time,1698.313843,AMPL1,30
_solve_elapsed_time,31.103789,AMPL1,30
_solve_system_time,2.103172,AMPL1,30
_solve_user_time,40.923453,AMPL1,30
_solve_time,43.026625,AMPL1,30
_total_solve_elapsed_time,936.397985,AMPL1,30
_total_solve_system_time,63.993805,AMPL1,30
_total_solve_user_time,1203.589318,AMPL1,30
_total_solve_time,1267.583123,AMPL1,30
_ampl_elapsed_time,1950.492367,AMPL1,31
_ampl_system_time,38.828615,AMPL1,31
_ampl_user_time,1715.715997,AMPL1,31
_ampl_time,1754.544625,AMPL1,31
_solve_elapsed_time,30.916327,AMPL1,31
_solve_system_time,1.861529,AMPL1,31
_solve_user_time,54.379066,AMPL1,31
_solve_time,56.240595,AMPL1,31
_total_solve_elapsed_time,967.314312,AMPL1,31
_total_solve_system_time,65.855334,AMPL1,31
_total_solve_user_time,1257.968384,AMPL1,31
_total_solve_time,1323.823718,AMPL1,31
_ampl_elapsed_time,2013.09403,AMPL1,32
_ampl_system_time,40.027289,AMPL1,32
_ampl_user_time,1771.167637,AMPL1,32
_ampl_time,1811.194976,AMPL1,32
_solve_elapsed_time,35.13576,AMPL1,32
_solve_system_time,2.090681,AMPL1,32
_solve_user_time,52.508588,AMPL1,32
_solve_time,54.599269,AMPL1,32
_total_solve_elapsed_time,1002.450072,AMPL1,32
_total_solve_system_time,67.946015,AMPL1,32
_total_solve_user_time,1310.476972,AMPL1,32
_total_solve_time,1378.422987,AMPL1,32
_ampl_elapsed_time,2077.426111,AMPL1,33
_ampl_system_time,41.133036,AMPL1,33
_ampl_user_time,1828.846387,AMPL1,33
_ampl_time,1869.979439,AMPL1,33
_solve_elapsed_time,27.919935,AMPL1,33
_solve_system_time,2.137428,AMPL1,33
_solve_user_time,31.755651,AMPL1,33
_solve_time,33.893079,AMPL1,33
_total_solve_elapsed_time,1030.370007,AMPL1,33
_total_solve_system_time,70.083443,AMPL1,33
_total_solve_user_time,1342.232623,AMPL1,33
_total_solve_time,1412.316066,AMPL1,33
_ampl_elapsed_time,2137.533357,AMPL1,34
_ampl_system_time,42.36026,AMPL1,34
_ampl_user_time,1883.921878,AMPL1,34
_ampl_time,1926.282152,AMPL1,34
_solve_elapsed_time,26.586482,AMPL1,34
_solve_system_time,2.030691,AMPL1,34
_solve_user_time,31.882597,AMPL1,34
_solve_time,33.913288,AMPL1,34
_total_solve_elapsed_time,1056.956489,AMPL1,34
_total_solve_system_time,72.114134,AMPL1,34
_total_solve_user_time,1374.11522,AMPL1,34
_total_solve_time,1446.229354,AMPL1,34
_ampl_elapsed_time,2198.919776,AMPL1,35
_ampl_system_time,43.57682,AMPL1,35
_ampl_user_time,1938.861867,AMPL1,35
_ampl_time,1982.438702,AMPL1,35
_solve_elapsed_time,28.053919,AMPL1,35
_solve_system_time,2.064811,AMPL1,35
_solve_user_time,32.842283,AMPL1,35
_solve_time,34.907094,AMPL1,35
_total_solve_elapsed_time,1085.010408,AMPL1,35
_total_solve_system_time,74.178945,AMPL1,35
_total_solve_user_time,1406.957503,AMPL1,35
_total_solve_time,1481.136448,AMPL1,35
_ampl_elapsed_time,2257.771444,AMPL1,36
_ampl_system_time,44.800623,AMPL1,36
_ampl_user_time,1992.604413,AMPL1,36
_ampl_time,2037.405051,AMPL1,36
_solve_elapsed_time,25.518656,AMPL1,36
_solve_system_time,2.003972,AMPL1,36
_solve_user_time,29.484796,AMPL1,36
_solve_time,31.488768,AMPL1,36
_total_solve_elapsed_time,1110.529064,AMPL1,36
_total_solve_system_time,76.182917,AMPL1,36
_total_solve_user_time,1436.442299,AMPL1,36
_total_solve_time,1512.625216,AMPL1,36
_ampl_elapsed_time,2319.066955,AMPL1,37
_ampl_system_time,45.902425,AMPL1,37
_ampl_user_time,2047.855129,AMPL1,37
_ampl_time,2093.757568,AMPL1,37
_solve_elapsed_time,25.782919,AMPL1,37
_solve_system_time,2.09152,AMPL1,37
_solve_user_time,30.464536,AMPL1,37
_solve_time,32.556056,AMPL1,37
_total_solve_elapsed_time,1136.311983,AMPL1,37
_total_solve_system_time,78.274437,AMPL1,37
_total_solve_user_time,1466.906835,AMPL1,37
_total_solve_time,1545.181272,AMPL1,37
_ampl_elapsed_time,2384.852428,AMPL1,38
_ampl_system_time,47.084004,AMPL1,38
_ampl_user_time,2107.006458,AMPL1,38
_ampl_time,2154.090477,AMPL1,38
_solve_elapsed_time,30.821575,AMPL1,38
_solve_system_time,2.315393,AMPL1,38
_solve_user_time,34.006532,AMPL1,38
_solve_time,36.321925,AMPL1,38
_total_solve_elapsed_time,1167.133558,AMPL1,38
_total_solve_system_time,80.58983,AMPL1,38
_total_solve_user_time,1500.913367,AMPL1,38
_total_solve_time,1581.503197,AMPL1,38
_ampl_elapsed_time,2457.815544,AMPL1,39
_ampl_system_time,48.412404,AMPL1,39
_ampl_user_time,2171.951667,AMPL1,39
_ampl_time,2220.364085,AMPL1,39
_solve_elapsed_time,37.850026,AMPL1,39
_solve_system_time,2.556442,AMPL1,39
_solve_user_time,53.537255,AMPL1,39
_solve_time,56.093697,AMPL1,39
_total_solve_elapsed_time,1204.983584,AMPL1,39
_total_solve_system_time,83.146272,AMPL1,39
_total_solve_user_time,1554.450622,AMPL1,39
_total_solve_time,1637.596894,AMPL1,39
_ampl_elapsed_time,2527.473944,AMPL1,40
_ampl_system_time,49.740671,AMPL1,40
_ampl_user_time,2233.854369,AMPL1,40
_ampl_time,2283.59504,AMPL1,40
_solve_elapsed_time,33.33966,AMPL1,40
_solve_system_time,2.686305,AMPL1,40
_solve_user_time,36.012202,AMPL1,40
_solve_time,38.698507,AMPL1,40
_total_solve_elapsed_time,1238.323244,AMPL1,40
